layer,token_pos,token_offset,feature_dim,mean_test_accuracy,std_test_accuracy,mean_test_f1,std_test_f1,mean_test_auroc,std_test_auroc
1,7,-1,896,0.6312493388342325,0.05255615201256919,0.7188256530765177,0.05121811477488142,0.6386079081703924,0.03039966852265518
11,7,-1,896,0.6326986141965514,0.05140200126049886,0.7139208773794097,0.0439149882469016,0.6385588787312761,0.04611304913620185
11,6,-2,896,0.634264254733947,0.015303716194273094,0.721680314739923,0.021431101667341756,0.6381689381602947,0.013638818179340245
15,1,-7,896,0.6154448323283613,0.0345975400985992,0.7102624759829246,0.03317335112833624,0.6379552092188816,0.02803423134521792
9,6,-2,896,0.6226594731831165,0.04081797348453945,0.71079786430124,0.03314402831046281,0.6374117944051312,0.05795918516065655
11,5,-3,896,0.6240875912408759,0.020255425937656384,0.7168752992817239,0.022679641709647685,0.6367849759130876,0.026746029364775638
4,7,-1,896,0.6284354173278325,0.04577537472453333,0.7134330862617537,0.041295839562565065,0.6366663872824296,0.05314547728384131
9,5,-3,896,0.6284777319369513,0.013225727062416063,0.7120192127019065,0.015845995789945177,0.6366008068217648,0.029573268759868078
15,4,-4,896,0.6371204908494658,0.023015865605419943,0.728509087553376,0.02095031515397183,0.6362551810808977,0.037603129583152824
17,5,-3,896,0.6313233894001905,0.04680754672702207,0.717207993245145,0.04587042307531577,0.6359369075557472,0.0581135846569146
13,7,-1,896,0.6341584682111499,0.040314306987599614,0.72086940504697,0.033160970883426226,0.6353940540049731,0.044225733847394005
12,2,-6,896,0.6401565640537396,0.0424593604755751,0.7333759799840018,0.03572960754396977,0.6347143021779997,0.04005987748183229
15,0,-8,896,0.6211784618639585,0.016377038424466136,0.7145435908797351,0.015315262937585342,0.6345331639067495,0.03424590902497639
0,7,-1,896,0.6312916534433513,0.04289276818005548,0.7101607155461802,0.04125226332300155,0.6335387555826958,0.03468640197503259
16,4,-4,896,0.6284459959801121,0.03648634680159959,0.7189019990685777,0.030633908660258675,0.6334539799282382,0.044979335998883485
18,6,-2,896,0.6355760076166296,0.05848002409282922,0.7232757071933759,0.04617720765650401,0.6317613729340533,0.05688807129223172
16,7,-1,896,0.6327620861102294,0.0586915888755976,0.7140021238333378,0.05261065306294373,0.6317569327202845,0.04791440576306153
17,6,-2,896,0.6240664339363166,0.010580006260542115,0.7149640870989187,0.009583108013449975,0.6309356802607055,0.0203656944048194
12,1,-7,896,0.6211467259071195,0.02511060108634422,0.7174939139964607,0.022113723584183318,0.6302494177832059,0.04693530031901831
21,5,-3,896,0.6225748439648788,0.038783171577485065,0.7092281761980418,0.03735662063879504,0.6302242357843313,0.0444348468577248
17,4,-4,896,0.6284671532846715,0.015652380680144868,0.7234210018923448,0.014386363207417704,0.6297161306480518,0.017217163898593745
20,6,-2,896,0.6399661483127049,0.04053514557733323,0.7286642057715271,0.029972626067608945,0.6289013140039353,0.06355504527528903
8,6,-2,896,0.6169046863429599,0.03079902260251293,0.7053868697157071,0.023642109895836403,0.6283010619594414,0.043484444209891254
20,5,-3,896,0.6008251348778166,0.01762929783931702,0.6934465744059464,0.0181230746002951,0.6262454550171422,0.03376957622051482
22,6,-2,896,0.6269438273563949,0.024486803830725233,0.7123973828335549,0.012670642468374908,0.6233635442484763,0.04516104760501694
8,0,-8,896,0.6182904897916005,0.013306439253188588,0.7119319752348863,0.009567846361865449,0.6230655884430715,0.03359662013438858
19,7,-1,896,0.6197080291970802,0.044601025704953036,0.6967760715098563,0.04033837785247726,0.6219320866809551,0.04145081176290169
11,4,-4,896,0.6197609224584788,0.025835083151031203,0.7131539326688934,0.022069696300533237,0.6215094806047471,0.05867249578849672
0,6,-2,896,0.6197397651539194,0.03737495489106261,0.7069797812375178,0.03356638538696294,0.6184022913498649,0.025759875642299583
8,1,-7,896,0.6371310695017455,0.031021518581704644,0.7321711158880031,0.02423981302633472,0.6181250274395232,0.03698970116859036
19,6,-2,896,0.6269226700518354,0.03287838661523196,0.7144952857247227,0.026918371356591118,0.6178672954807604,0.050299050287772824
17,7,-1,896,0.610948905109489,0.0357868880242824,0.694458208942482,0.03015971683436851,0.6174560269166756,0.056136086151475285
10,1,-7,896,0.6328044007193483,0.021218055169689023,0.7310446380289118,0.015208879043289457,0.6157457713200106,0.048479622419567804
22,5,-3,896,0.6095207870517296,0.0345139388772193,0.6984996229852588,0.03294251834111317,0.615710336917434,0.05396113072361299
18,7,-1,896,0.596445572834021,0.039842757697881266,0.6833345074052047,0.03673654723929919,0.6156092222741079,0.03684419893432532
14,1,-7,896,0.6183116470961598,0.01757414409065194,0.7172155896095668,0.0170216418237819,0.6131875346735794,0.02808953816595898
12,0,-8,896,0.602221516978737,0.0455508659903486,0.6981696917797966,0.04732017787318283,0.6126398417886977,0.04884350701573438
12,3,-5,896,0.6182693324870412,0.039746616554015575,0.7101968900693811,0.03345469806308311,0.6114562753690865,0.018178949169668987
5,6,-2,896,0.6182164392256426,0.026891924524924674,0.7088705587794294,0.016071864559428054,0.6106499649771904,0.057029658196061386
15,2,-6,896,0.6183645403575585,0.030104071359896473,0.714774607012485,0.02592802350588593,0.610335570402832,0.025417366325588057
